Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-22,22:17,01:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN220,1,11L,Landed,VN-A390,A321,passenger
2025-12-22,22:11,01:45,Ho Chi Minh City,SGN,VietJet Air,VJ160,1,11L,Landed,VN-A516,A21N,passenger
2025-12-22,22:08,01:47,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,11L,Landed,VN-A334,A321,passenger
2025-12-22,22:06,04:12,Seoul,ICN,FedEx,FX9073,0,11L,Landed,N118FE,B763,cargo
2025-12-22,21:58,01:34,Phnom Penh,KTI,Vietnam Airlines,VN922,2,11L,Landed,VN-A357,A321,passenger
2025-12-22,21:54,00:59,Da Nang,DAD,N/A,VN6070,1,11L,Landed,VN-A363,A321,passenger
2025-12-22,21:48,01:34,Macau,MFM,Air Macau,NX982,2,11L,Landed,B-MBA,A321,passenger
2025-12-22,21:43,01:38,Chengdu,TFU,Sichuan Airlines,3U3905,2,11L,Landed,B-6700,A320,passenger
2025-12-22,21:40,01:56,Can Tho,VCA,Vietnam Airlines,VN1206,1,11L,Landed,VN-A614,A321,passenger
2025-12-22,21:37,01:28,Bangkok,BKK,Vietnam Airlines,VN618,2,11L,Landed,VN-A339,A321,passenger
2025-12-22,21:34,01:50,Ho Chi Minh City,SGN,BBN Airlines Indonesia,QH268,1,11L,Landed,PK-BBK,B739,passenger
2025-12-22,21:32,00:40,Vinh,VII,Vietnam Airlines,VN1718,1,11L,Landed,VN-A608,A321,passenger
2025-12-22,21:29,01:34,Nha Trang,CXR,Vietnam Airlines,VN1562,1,11L,Landed,VN-A396,A321,passenger
2025-12-22,21:27,02:47,Taipei,TPE,VietJet Air,VJ943,2,11L,Landed,VN-A548,A21N,passenger
2025-12-22,21:23,01:35,Da Lat,DLI,VietJet Air,VJ410,1,11L,Landed,VN-A639,A321,passenger
2025-12-22,21:20,04:04,Seoul,ICN,Korean Air,KE447,2,11L,Landed,HL7208,B789,passenger
2025-12-22,21:15,04:35,Denpasar,DPS,VietJet Air,VJ998,2,N/A,Landed,VN-A535,A321,passenger
2025-12-22,21:11,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN258,1,11L,Landed,VN-A867,B789,passenger
2025-12-22,21:08,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ158,1,11L,Landed,VN-A685,A321,passenger
2025-12-22,21:04,01:43,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ878,1,11L,Landed,VN-A282,A21N,passenger
2025-12-22,21:00,09:33,Sydney,SYD,Vietnam Airlines,VN786,2,11L,Landed,VN-A889,A359,passenger
2025-12-22,20:58,01:37,Bangkok,BKK,VietJet Air,VJ904,2,11L,Landed,VN-A641,A321,passenger
2025-12-22,20:55,01:51,Ho Chi Minh City,SGN,VietJet Air,VJ154,1,11L,Landed,VN-A662,A320,passenger
2025-12-22,20:53,01:36,Shenzhen,SZX,China Southern Airlines,CZ8083,2,11L,Landed,B-1653,A320,passenger
2025-12-22,20:50,00:53,Vientiane,VTE,Vietnam Airlines,VN920,2,11L,Landed,VN-A606,A321,passenger
2025-12-22,20:47,01:06,Da Nang,DAD,Vietravel Airlines,VU658,1,11L,Landed,VN-A129,A321,passenger
2025-12-22,20:44,01:44,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,11L,Landed,VN-A872,B78X,passenger
2025-12-22,20:41,01:49,Ho Chi Minh City,SGN,Vietnam Airlines,VN252,1,11L,Landed,VN-A866,B789,passenger
2025-12-22,20:39,01:12,Da Nang,DAD,Vietnam Airlines,VN7196,1,11L,Landed,VN-A335,A321,passenger
2025-12-22,20:36,04:07,Seoul,ICN,Vietnam Airlines,VN415,2,11L,Landed,VN-A898,A359,passenger
2025-12-22,20:32,05:50,Tokyo,NRT,VietJet Air,VJ935,2,N/A,Landed,VN-A528,A21N,passenger
2025-12-22,20:29,05:27,Tokyo,HND,Vietnam Airlines,VN385,2,11L,Landed,VN-A864,B789,passenger
2025-12-22,20:27,01:19,Pleiku,PXU,VietJet Air,VJ424,1,11L,Landed,VN-A634,A321,passenger
2025-12-22,20:24,01:19,Qui Nhon,UIH,VietJet Air,VJ432,1,29R,Landed,VN-A648,A321,passenger
2025-12-22,20:21,01:46,Phu Quoc,PQC,VietJet Air,VJ1440,1,11L,Landed,VN-A537,A21N,passenger
2025-12-22,20:18,01:29,Bangkok,DMK,AirAsia,FD644,2,11L,Landed,HS-EAE,A21N,passenger
2025-12-22,20:16,00:59,Da Nang,DAD,Vietnam Airlines,VN188,1,11L,Landed,VN-A514,A20N,passenger
2025-12-22,20:09,00:40,Luang Prabang,LPQ,Vietnam Airlines,VN930,2,11L,Landed,VN-A611,A321,passenger
2025-12-22,20:04,01:43,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ868,1,11L,Landed,VN-A280,A321,passenger
2025-12-22,19:59,01:40,Yangon,RGN,Myanmar Airways International,8M450,2,11L,Landed,XY-ALP,E190,passenger
2025-12-22,19:57,02:37,Taichung,RMQ,VietJet Air,VJ949,2,11L,Landed,VN-A538,A21N,passenger
2025-12-22,19:52,01:06,Da Nang,DAD,VietJet Air,VJ516,1,11L,Landed,VN-A689,A320,passenger
2025-12-22,19:49,01:03,Hue,HUI,Vietnam Airlines,VN1544,1,11L,Landed,VN-A603,A321,passenger
2025-12-22,19:46,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,11L,Landed,VN-A878,B78X,passenger
2025-12-22,19:43,01:07,Da Nang,DAD,Bamboo Airways,QH148,1,11L,Landed,VN-A227,A321,passenger
2025-12-22,19:41,01:30,Bangkok,BKK,Thai Airways,TG564,2,11L,Landed,HS-TXO,A320,passenger
2025-12-22,19:38,01:50,Ho Chi Minh City,SGN,VietJet Air,VJ152,1,11L,Landed,VN-A580,A21N,passenger
2025-12-22,19:35,01:02,Da Nang,DAD,Vietnam Airlines,VN180,1,11L,Landed,VN-A325,A321,passenger
2025-12-22,19:32,01:46,Ho Chi Minh City,SGN,Bamboo Airways,QH262,1,11L,Landed,ER-00005,A320,passenger
2025-12-22,19:28,01:47,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,11L,Landed,VN-A289,A321,passenger
2025-12-22,19:25,02:53,Shanghai,PVG,Vietnam Airlines,VN533,2,11L,Landed,VN-A601,A321,passenger
