Route,Dep_Index,Arr_Index,Flight_No_Dep,Flight_No_Arr,Scheduled_Tail,Actual_Tail,Gap_Hours,Is_Aircraft_Swapped
SGN->HAN,13,0,VN224,VN224,VN-A503,VN-A503,1.7,False
SGN->HAN,17,4,VN220,VN220,VN-A872,VN-A872,1.6333,False
SGN->HAN,19,5,VN256,VN256,VN-A508,VN-A508,1.6667,False
SGN->HAN,20,6,9G882,9G882,VN-A279,VN-A279,1.7167,False
SGN->HAN,25,7,VN260,VN260,VN-A603,VN-A603,1.7,False
SGN->HAN,28,9,VU794,VU794,VN-A136,VN-A136,1.6833,False
SGN->HAN,32,14,QH286,QH286,VN-A585,VN-A585,1.6833,False
SGN->HAN,34,15,VJ180,VJ180,VN-A661,VN-A661,1.6333,False
SGN->HAN,36,16,VN7260,VN7260,VN-A324,VN-A324,1.6833,False
SGN->HAN,48,25,VJ158,VJ158,VN-A673,VN-A673,1.8667,False
SGN->HAN,50,30,VN262,VN262,VN-A870,VN-A870,1.65,False
SGN->HAN,51,31,VJ166,VJ166,VN-A549,VN-A549,1.6667,False
SGN->HAN,55,33,VJ196,VJ196,VN-A536,VN-A536,1.7333,False
SGN->HAN,58,36,9G878,9G878,VN-A282,VN-A282,1.7,False
SGN->HAN,60,38,VN258,VN258,VN-A892,VN-A892,1.6833,False
SGN->HAN,65,41,QH262,QH262,ER-00005,ER-00005,1.7,False
SGN->HAN,75,49,VN218,VN218,VN-A898,VN-A898,1.75,False
SGN->HAN,76,52,9G868,9G868,VN-A281,VN-A281,1.7,False
SGN->HAN,80,55,3S621,3S621,D-AALV,D-AALV,1.7,False
SGN->HAN,90,60,VU780,VU780,VN-A289,VN-A289,1.8,False
SGN->HAN,94,68,VN254,VN254,VN-A879,VN-A879,1.6167,False
SGN->HAN,97,69,VJ152,VJ152,VN-A689,VN-A689,1.7167,False
SGN->HAN,101,72,VN252,VN252,VN-A868,VN-A868,1.6333,False
SGN->HAN,111,81,VJ192,VJ192,VN-A811,VN-A811,1.7,False
SGN->HAN,118,87,VN216,VN216,VN-A896,VN-A896,1.7167,False
SGN->HAN,124,94,9G854,9G854,VN-A279,VN-A279,1.6833,False
SGN->HAN,126,96,VN250,VN250,VN-A873,VN-A873,1.6667,False
SGN->HAN,136,105,VN214,VN214,VN-A872,VN-A872,1.6833,False
SGN->HAN,139,108,VJ130,VJ130,VN-A816,VN-A816,1.65,False
SGN->HAN,149,116,VN248,VN248,VN-A869,VN-A869,1.6833,False
SGN->HAN,151,117,VU770,VU770,VN-A129,VN-A129,1.7167,False
SGN->HAN,159,119,VJ198,VJ198,VN-A549,VN-A549,1.8,False
SGN->HAN,164,125,QH242,QH242,PK-BBK,PK-BBK,1.7167,False
SGN->HAN,167,130,VU778,VU778,9H-MLW,9H-MLW,1.7167,False
SGN->HAN,172,134,VJ138,VJ138,VN-A635,VN-A635,1.8,False
SGN->HAN,179,142,VN212,VN212,VN-A866,VN-A866,1.7333,False
SGN->HAN,182,144,VJ144,VJ144,VN-A536,VN-A536,1.7333,False
SGN->HAN,192,151,QH240,QH240,ER-00005,ER-00005,1.7667,False
SGN->HAN,202,159,VJ188,VJ188,VN-A663,VN-A663,1.7,False
SGN->HAN,208,165,VN246,VN246,VN-A886,VN-A886,1.7167,False
SGN->HAN,219,173,QH224,QH224,JU-1410,JU-1410,1.8,False
SGN->HAN,228,184,VN210,VN210,VN-A868,VN-A868,1.6333,False
SGN->HAN,235,187,VJ186,VJ186,VN-A811,VN-A811,1.8,False
SGN->HAN,242,197,9G822,9G822,VN-A279,VN-A279,1.7667,False
SGN->HAN,247,202,VN244,VN244,VN-A896,VN-A896,1.6667,False
SGN->HAN,258,210,VJ184,VJ184,VN-A816,VN-A816,1.7,False
SGN->HAN,268,217,VN208,VN208,VN-A869,VN-A869,1.6833,False
SGN->HAN,271,219,VJ148,VJ148,VN-A685,VN-A685,1.7833,False
SGN->HAN,280,225,VN226,VN226,VN-A605,VN-A605,1.6667,False
SGN->HAN,283,227,VJ124,VJ124,VN-A657,VN-A657,1.7,False
SGN->HAN,285,229,VU774,VU774,9H-MLW,9H-MLW,1.7,False
SGN->HAN,287,230,QH204,QH204,PK-BBK,PK-BBK,1.6833,False
SGN->HAN,289,231,VN240,VN240,VN-A889,VN-A889,1.6333,False
SGN->HAN,295,233,VN6014,VN6014,VN-A354,VN-A354,1.7667,False
SGN->HAN,296,234,VJ126,VJ126,VN-A675,VN-A675,1.7667,False
SGN->HAN,300,239,9G806,9G806,VN-A281,VN-A281,1.6833,False
SGN->HAN,304,241,VN206,VN206,VN-A357,VN-A357,1.6833,False
SGN->HAN,314,243,VU750,VU750,VN-A289,VN-A289,1.7333,False
SGN->HAN,315,244,QH202,QH202,ER-00005,ER-00005,1.75,False
