Route,Dep_Index,Arr_Index,Flight_No,Dep_Tail_Before,Arr_Tail_After,Dep_AC_Before,Arr_AC_After,Gap_Hours
SGN->HAN,21599,16576,VN224,VN-A397,VN-A329,A321,A321,1.4667
SGN->HAN,21607,16575,VN7020,VN-A894,VN-A889,A359,A359,1.9667
SGN->HAN,21632,16577,VN260,VN-A877,VN-A873,B78X,B78X,2.95
SGN->HAN,22017,16248,9G8802,VN-A279,VN-A280,A321,A321,0.6833
SGN->HAN,22083,16855,VJ156,VN-A629,VN-A673,A321,A321,2.0833
SGN->HAN,22099,16878,VN7020,VN-A888,VN-A894,A359,A359,1.1333
SGN->HAN,22127,16870,VN256,VN-A874,VN-A878,B78X,B78X,2.7167
SGN->HAN,22511,16540,9G8802,VN-A280,VN-A279,A321,A321,0.45
SGN->HAN,22603,17165,VJ160,VN-A642,VN-A575,A321,A21N,1.7
SGN->HAN,22608,17161,9G886,VN-A280,VN-A284,A321,A21N,2.2167
SGN->HAN,22611,17136,9G882,VN-A284,VN-A280,A21N,A321,5.2833
SGN->HAN,22655,17157,VJ180,VN-A816,VN-A817,A333,A333,4.6333
SGN->HAN,23124,17471,VJ160,VN-A634,VN-A642,A321,A321,1.9333
SGN->HAN,23136,17479,9G882,VN-A286,VN-A284,A21N,A21N,1.9833
SGN->HAN,23576,17138,9G8802,VN-A286,VN-A279,A21N,A321,1.8167
SGN->HAN,23611,17131,VJ190,VN-A685,VN-A523,A321,A21N,4.1167
SGN->HAN,23635,17769,VJ160,VN-A538,VN-A634,A21N,A321,1.3667
SGN->HAN,23639,17756,VN270,VN-A505,VN-A327,A21N,A321,2.9167
SGN->HAN,23646,17759,VN7010,VN-A872,VN-A866,B78X,B789,2.9
SGN->HAN,23665,17760,VN224,VN-A358,VN-A605,A321,A321,3.6
SGN->HAN,23667,17777,9G882,VN-A284,VN-A286,A21N,A21N,2.2333
SGN->HAN,24098,17445,9G8802,VN-A284,VN-A286,A21N,A21N,1.3667
SGN->HAN,24163,18020,VN270,VN-A336,VN-A505,A321,A21N,2.2
SGN->HAN,24577,17748,9G8802,VN-A286,VN-A284,A21N,A21N,2.5333
SGN->HAN,24627,18279,VN270,VN-A326,VN-A336,A321,A321,1.3167
SGN->HAN,25022,18557,VU782,VN-A289,VN-A136,A321,A320,1.25
SGN->HAN,25032,18560,VN270,VN-A619,VN-A326,A21N,A321,1.8333
SGN->HAN,25037,18558,9G882,VN-A280,VN-A286,A321,A21N,2.25
SGN->HAN,25425,18266,VN9108,VN-A339,VN-A353,A321,A321,1.65
SGN->HAN,25476,18835,VN270,VN-A398,VN-A619,A321,A21N,1.8667
SGN->HAN,25492,18844,VN224,VN-A888,VN-A390,A359,A321,1.7333
SGN->HAN,25886,18546,VN9108,VN-A623,VN-A339,A21N,A321,1.6167
SGN->HAN,25937,19122,9G886,VN-A280,VN-A282,A321,A21N,0.6333
SGN->HAN,25943,19119,VN270,VN-A335,VN-A398,A321,A321,1.2167
SGN->HAN,25952,19126,VJ174,VN-A578,VN-A536,A21N,A21N,0.85
SGN->HAN,26374,18818,VN9108,VN-A865,VN-A623,B789,A21N,1.6
SGN->HAN,26415,18823,9G8802,VN-A280,VN-A279,A321,A321,3.2167
SGN->HAN,26438,19407,9G882,VN-A280,VN-A286,A321,A21N,0.3333
SGN->HAN,26445,19397,9G886,VN-A281,VN-A280,A21N,A321,2.0333
SGN->HAN,26450,19398,VN270,VN-A615,VN-A335,A321,A321,1.8333
SGN->HAN,26455,19402,VJ174,VN-A575,VN-A578,A21N,A21N,1.9167
SGN->HAN,26921,19105,9G8802,VN-A284,VN-A280,A21N,A321,0.8833
